id,thickness_mm,settings_variant,dsp_found,dsp_coherence,dsp_round_trip_s,dsp_velocity,dsp_n_packets,dsp_warnings_count,dsp_noise_level,dsp_thickness_est_mm,max_abs_v,ptp_v,mean_v,std_v,rms_v,skew_v,kurt_v,energy_v,zcr,env_max,env_mean,env_std,env_auc,env_centroid_t,p1_t,p2_t,p3_t,delta_t_21,delta_t_32,amp_ratio_21,amp_ratio_32,autocorr_tau_s,autocorr_peak_val,autocorr_thickness_est_mm,dominant_freq_mhz,spectral_centroid_mhz,spectral_spread_mhz,band_0_2mhz,band_2_6mhz,band_6_12mhz,band_12_25mhz,gain,hp_val,lp_val,damping,prf,pulse_amp,averaging
20260820_161412_ac617213,25.0,hizli_prf_cakisma,1,0.9887909914718607,8.82e-06,5725.037786947749,8,1,0.1189175686552254,25.3134,3.537688,6.83417,-0.0951798876,0.2288071628823953,0.24781430303725327,2.22655676133109,83.59258649364915,1.2282385757967921e-05,0.0125,4.328196706960785,0.17713535526595744,0.28703258209144156,3.542707105319149e-05,7.720010489477203e-05,4.6e-07,2.21e-06,2.94e-06,1.75e-06,7.299999999999998e-07,0.8452152610576659,0.538834086163718,1.31e-06,0.4888577730369786,3.7597,1.15,1.6599150686281476,3.5824530357941424,0.923632990034212,0.06269488199869475,0.003673264604317154,0.004041904403958516,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161415_f87bc197,25.0,hizli_prf_cakisma,1,0.9879837168637442,8.64e-06,5724.8332422961485,8,1,0.1190911377226782,24.7968,3.61809,6.994974,-0.09645023919999998,0.22849393780353208,0.2480163870688822,2.1913834990179524,84.31620912812714,1.230242565094032e-05,0.0116,4.322556938405952,0.1773319978269203,0.28683609793329806,3.546639956538406e-05,7.711945065943598e-05,-5e-08,4.6e-07,1.7e-06,5.1e-07,1.24e-06,2.1995690400213044,0.8266743046989267,1.77e-06,0.48751312996509416,5.0799,1.15,1.6573153249271986,3.587033495003639,0.9242627147853886,0.06245039903018455,0.0035564693950672233,0.0037630021117457035,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161415_965bbd81,25.0,hizli_prf_cakisma,1,0.9882044812922357,8.64e-06,5725.245972269504,8,1,0.11876276077455183,24.7968,3.61809,6.994974,-0.09573868149999998,0.2284317526403914,0.24768318624751134,2.1810078111830635,83.52754849334715,1.226939214994388e-05,0.0118,4.26667158429431,0.17706809557751138,0.2866615558660539,3.541361911550228e-05,7.704726481311314e-05,-5e-08,4.6e-07,2.22e-06,5.1e-07,1.7599999999999999e-06,2.1539114934668033,0.8596259600225726,1.3e-06,0.48813335113442186,3.731,1.15,1.6559402805869055,3.5857813548208064,0.9234809407566142,0.06322474353276539,0.003506966525728958,0.003893958878822882,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161416_b489eb74,25.0,hizli_prf_cakisma,1,0.9886803659333218,8.64e-06,5724.93072828392,8,1,0.11883478054367749,24.7968,3.61809,6.914572,-0.0946130535,0.22883953676370772,0.24762706531965,2.2220378352295307,83.60020195068238,1.2263832695764442e-05,0.013,4.268447864903276,0.1764298236532513,0.28733113591167786,3.528596473065026e-05,7.690764330940378e-05,4.6e-07,1.7e-06,2.22e-06,1.24e-06,5.199999999999999e-07,0.8381892704338447,1.026052189494574,1.77e-06,0.4881560172299907,5.0799,1.15,1.6559390425390295,3.595780387631563,0.9231249784451276,0.06334737938846206,0.003609123707396797,0.003990414393279461,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161417_31add4ea,25.0,hizli_prf_cakisma,1,0.9875670947175076,8.64e-06,5726.527593554833,9,1,0.11834628130757184,24.7968,3.537688,6.914572,-0.0973185808,0.22811836805696614,0.24800987079932849,2.2310959721929597,83.72357552483044,1.2301779202779922e-05,0.0119,4.342806757480517,0.1778774019429417,0.2861931349642618,3.557548038858834e-05,7.715670855065923e-05,-5e-08,4.6e-07,2.21e-06,5.1e-07,1.75e-06,2.1918018507606294,0.83571732126427,1.77e-06,0.4865971545874166,5.0799,1.15,1.671150820603549,3.6484488725070254,0.9240625897604575,0.062163065443713396,0.0036548594723869376,0.004082146809131472,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161431_d19b4991,20.0,hizli_prf_cakisma,1,0.969965325141395,6.9300000000000006e-06,5716.158141405303,8,1,0.14935683008170283,19.889100000000003,3.939698,7.316582,-0.095798983,0.24019251750265352,0.2585921317598368,2.4658582658778645,77.80928954426092,1.3373978121619361e-05,0.0134,4.453716087728686,0.18648551343233322,0.2996422340180336,3.729710268646664e-05,7.662581176975173e-05,-5e-08,4.6e-07,2.21e-06,5.1e-07,1.75e-06,2.252069684442396,0.9420374325014617,1.7800000000000001e-06,0.4949836988040136,5.1086,1.15,1.6370637225397113,3.505270509654639,0.9085122426774189,0.07854027123144686,0.0032962805424432994,0.003915620272801962,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161434_5b36ab3e,20.0,hizli_prf_cakisma,1,0.9693052456167955,6.9300000000000006e-06,5715.080893638964,8,1,0.14949317945004134,19.889100000000003,3.939698,7.316582,-0.0965185809,0.24015809298747845,0.25882763779459916,2.441874042536667,77.90005753473834,1.3398349217266442e-05,0.0124,4.373037044669691,0.1862688895812435,0.29995255739934973,3.7253777916248695e-05,7.673852071231086e-05,-9e-08,4.6e-07,2.21e-06,5.5e-07,1.75e-06,2.1734617491601402,0.960502710459674,1.7800000000000001e-06,0.49602635242363297,5.1086,1.15,1.6336831308706894,3.4928518317155426,0.9093861679344907,0.07781480379131334,0.003270295369026962,0.0038611902535389854,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161434_303dec4f,20.0,hizli_prf_cakisma,1,0.9689132835743463,6.9300000000000006e-06,5716.309449293773,8,1,0.14922423575210028,19.889100000000003,3.939698,7.316582,-0.09668742509999999,0.2398827523961706,0.25863525101894097,2.4654265266245177,77.94210228162169,1.3378438613926124e-05,0.0118,4.332369261273428,0.18633979994440877,0.2995218040538823,3.726795998888176e-05,7.669060083411667e-05,-8e-08,4.6e-07,2.21e-06,5.4e-07,1.75e-06,2.1786831923236774,0.9709633626334107,1.7800000000000001e-06,0.4976898102707528,5.1086,1.15,1.6230140619476614,3.4541262457834336,0.9099645321466069,0.07762819493176577,0.0031765826729069063,0.0037106876790198237,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161435_bb4a3a99,20.0,hizli_prf_cakisma,1,0.9692640570385044,6.9300000000000006e-06,5714.043629890332,8,1,0.1488703067882107,19.889100000000003,3.859296,7.155778,-0.09603616889999998,0.23919749313912236,0.2577564479523835,2.413417411636239,77.3826775730303,1.3287677292205959e-05,0.0118,4.169266398358876,0.18565485650978586,0.29864037161330836,3.713097130195717e-05,7.66751604077031e-05,4.6e-07,2.21e-06,2.85e-06,1.75e-06,6.399999999999998e-07,1.0042070398278111,0.37393818251119587,1.7800000000000001e-06,0.49541001634482335,5.1086,1.15,1.6094044388857278,3.400731481923477,0.9096242457471219,0.07848580841249986,0.003080931602947237,0.003468543944075149,33.0,1.0,5.0,1.0,1.0,9.0,32.0
20260820_161435_6525097a,20.0,hizli_prf_cakisma,1,0.969399236044893,6.9300000000000006e-06,5716.05847677669,8,1,0.1488719460916515,19.889100000000003,3.939698,7.23618,-0.09515978709999999,0.23921127855553312,0.25744401501897496,2.461408835473899,77.83414083135357,1.325548417381804e-05,0.0132,4.196104179206101,0.18514046190043945,0.29870128209266616,3.702809238008789e-05,7.678449643196505e-05,-7e-08,4.6e-07,2.21e-06,5.3e-07,1.75e-06,2.114267797103368,1.0016193692153026,1.7800000000000001e-06,0.4976422239867301,5.1086,1.15,1.6108204367374859,3.3999254225024163,0.909464813879126,0.0784657025154003,0.003092172667923901,0.0035727519575361826,33.0,1.0,5.0,1.0,1.0,9.0,32.0
