t_s,v_volt
-5.000000e-06,-0.160804
-4.997600e-06,-0.080402
-4.995200e-06,-0.080402
-4.992800e-06,-0.080402
-4.990400e-06,-0.080402
-4.988000e-06,-0.160804
-4.985600e-06,-0.080402
-4.983200e-06,-0.160804
-4.980800e-06,-0.080402
-4.978400e-06,-0.080402
-4.976000e-06,-0.160804
-4.973600e-06,-0.080402
-4.971200e-06,-0.160804
-4.968800e-06,-0.160804
-4.966400e-06,-0.160804
-4.964000e-06,-0.160804
-4.961600e-06,-0.160804
-4.959200e-06,-0.080402
-4.956800e-06,-0.160804
-4.954400e-06,-0.080402
-4.952000e-06,-0.080402
-4.949600e-06,-0.080402
-4.947200e-06,-0.080402
-4.944800e-06,-0.080402
-4.942400e-06,-0.080402
-4.940000e-06,-0.160804
-4.937600e-06,-0.080402
-4.935200e-06,-0.080402
-4.932800e-06,-0.080402
-4.930400e-06,-0.080402
-4.928000e-06,-0.160804
-4.925600e-06,-0.080402
-4.923200e-06,-0.160804
-4.920800e-06,-0.160804
-4.918400e-06,-0.080402
-4.916000e-06,-0.080402
-4.913600e-06,-0.080402
-4.911200e-06,-0.080402
-4.908800e-06,-0.080402
-4.906400e-06,-0.080402
-4.904000e-06,-0.160804
-4.901600e-06,-0.080402
-4.899200e-06,-0.080402
-4.896800e-06,-0.080402
-4.894400e-06,-0.080402
-4.892000e-06,-0.080402
-4.889600e-06,-0.080402
-4.887200e-06,-0.160804
-4.884800e-06,-0.080402
-4.882400e-06,-0.080402
-4.880000e-06,-0.080402
-4.877600e-06,-0.080402
-4.875200e-06,-0.080402
-4.872800e-06,-0.080402
-4.870400e-06,-0.080402
-4.868000e-06,-0.080402
-4.865600e-06,-0.080402
-4.863200e-06,-0.080402
-4.860800e-06,-0.080402
-4.858400e-06,-0.080402
-4.856000e-06,-0.080402
-4.853600e-06,-0.080402
-4.851200e-06,-0.080402
-4.848800e-06,-0.080402
-4.846400e-06,-0.080402
-4.844000e-06,-0.080402
-4.841600e-06,-0.080402
-4.839200e-06,-0.080402
-4.836800e-06,-0.080402
-4.834400e-06,-0.080402
-4.832000e-06,-0.080402
-4.829600e-06,-0.080402
-4.827200e-06,-0.080402
-4.824800e-06,-0.080402
-4.822400e-06,-0.080402
-4.820000e-06,-0.080402
-4.817600e-06,-0.080402
-4.815200e-06,-0.080402
-4.812800e-06,-0.080402
-4.810400e-06,-0.080402
-4.808000e-06,-0.080402
-4.805600e-06,-0.080402
-4.803200e-06,-0.160804
-4.800800e-06,-0.080402
-4.798400e-06,-0.080402
-4.796000e-06,-0.080402
-4.793600e-06,-0.080402
-4.791200e-06,-0.080402
-4.788800e-06,-0.080402
-4.786400e-06,-0.080402
-4.784000e-06,-0.160804
-4.781600e-06,-0.080402
-4.779200e-06,-0.080402
-4.776800e-06,-0.080402
-4.774400e-06,-0.080402
-4.772000e-06,-0.160804
-4.769600e-06,-0.080402
-4.767200e-06,-0.080402
-4.764800e-06,-0.080402
-4.762400e-06,-0.080402
-4.760000e-06,-0.080402
-4.757600e-06,-0.080402
-4.755200e-06,-0.080402
-4.752800e-06,-0.080402
-4.750400e-06,-0.080402
-4.748000e-06,-0.080402
-4.745600e-06,-0.080402
-4.743200e-06,-0.080402
-4.740800e-06,-0.080402
-4.738400e-06,-0.080402
-4.736000e-06,-0.080402
-4.733600e-06,-0.080402
-4.731200e-06,-0.080402
-4.728800e-06,-0.080402
-4.726400e-06,-0.080402
-4.724000e-06,-0.080402
-4.721600e-06,-0.080402
-4.719200e-06,-0.080402
-4.716800e-06,-0.080402
-4.714400e-06,-0.080402
-4.712000e-06,-0.080402
-4.709600e-06,-0.080402
-4.707200e-06,-0.080402
-4.704800e-06,-0.080402
-4.702400e-06,-0.080402
-4.700000e-06,-0.080402
-4.697600e-06,-0.080402
-4.695200e-06,-0.080402
-4.692800e-06,-0.080402
-4.690400e-06,-0.080402
-4.688000e-06,-0.080402
-4.685600e-06,-0.080402
-4.683200e-06,-0.080402
-4.680800e-06,-0.080402
-4.678400e-06,-0.080402
-4.676000e-06,-0.080402
-4.673600e-06,-0.080402
-4.671200e-06,-0.080402
-4.668800e-06,-0.080402
-4.666400e-06,-0.080402
-4.664000e-06,-0.080402
-4.661600e-06,-0.080402
-4.659200e-06,-0.080402
-4.656800e-06,-0.080402
-4.654400e-06,-0.080402
-4.652000e-06,-0.080402
-4.649600e-06,-0.080402
-4.647200e-06,-0.080402
-4.644800e-06,-0.080402
-4.642400e-06,-0.080402
-4.640000e-06,-0.080402
-4.637600e-06,-0.080402
-4.635200e-06,-0.080402
-4.632800e-06,-0.080402
-4.630400e-06,-0.080402
-4.628000e-06,-0.080402
-4.625600e-06,-0.080402
-4.623200e-06,-0.080402
-4.620800e-06,-0.080402
-4.618400e-06,-0.080402
-4.616000e-06,-0.080402
-4.613600e-06,-0.080402
-4.611200e-06,-0.080402
-4.608800e-06,-0.080402
-4.606400e-06,-0.080402
-4.604000e-06,-0.080402
-4.601600e-06,-0.080402
-4.599200e-06,-0.080402
-4.596800e-06,-0.080402
-4.594400e-06,-0.080402
-4.592000e-06,-0.080402
-4.589600e-06,-0.080402
-4.587200e-06,-0.080402
-4.584800e-06,-0.080402
-4.582400e-06,-0.080402
-4.580000e-06,-0.080402
-4.577600e-06,-0.080402
-4.575200e-06,-0.080402
-4.572800e-06,-0.080402
-4.570400e-06,-0.080402
-4.568000e-06,-0.080402
-4.565600e-06,-0.080402
-4.563200e-06,-0.080402
-4.560800e-06,-0.080402
-4.558400e-06,-0.080402
-4.556000e-06,-0.080402
-4.553600e-06,-0.080402
-4.551200e-06,-0.080402
-4.548800e-06,-0.080402
-4.546400e-06,-0.080402
-4.544000e-06,-0.080402
-4.541600e-06,-0.080402
-4.539200e-06,-0.080402
-4.536800e-06,-0.080402
-4.534400e-06,-0.080402
-4.532000e-06,-0.080402
-4.529600e-06,-0.080402
-4.527200e-06,-0.080402
-4.524800e-06,-0.080402
-4.522400e-06,-0.080402
-4.520000e-06,-0.080402
-4.517600e-06,-0.080402
-4.515200e-06,-0.080402
-4.512800e-06,-0.080402
-4.510400e-06,-0.080402
-4.508000e-06,-0.080402
-4.505600e-06,-0.080402
-4.503200e-06,-0.080402
-4.500800e-06,-0.080402
-4.498400e-06,-0.080402
-4.496000e-06,-0.080402
-4.493600e-06,-0.080402
-4.491200e-06,-0.080402
-4.488800e-06,-0.080402
-4.486400e-06,-0.080402
-4.484000e-06,-0.080402
-4.481600e-06,-0.080402
-4.479200e-06,-0.080402
-4.476800e-06,-0.080402
-4.474400e-06,-0.080402
-4.472000e-06,-0.080402
-4.469600e-06,-0.080402
-4.467200e-06,-0.080402
-4.464800e-06,-0.080402
-4.462400e-06,-0.080402
-4.460000e-06,-0.080402
-4.457600e-06,-0.080402
-4.455200e-06,-0.080402
-4.452800e-06,-0.080402
-4.450400e-06,-0.160804
-4.448000e-06,-0.080402
-4.445600e-06,-0.080402
-4.443200e-06,-0.080402
-4.440800e-06,-0.080402
-4.438400e-06,-0.080402
-4.436000e-06,-0.080402
-4.433600e-06,-0.080402
-4.431200e-06,-0.080402
-4.428800e-06,-0.080402
-4.426400e-06,-0.080402
-4.424000e-06,-0.080402
-4.421600e-06,-0.080402
-4.419200e-06,-0.080402
-4.416800e-06,-0.080402
-4.414400e-06,-0.080402
-4.412000e-06,-0.080402
-4.409600e-06,-0.080402
-4.407200e-06,-0.080402
-4.404800e-06,-0.080402
-4.402400e-06,-0.080402
-4.400000e-06,-0.080402
-4.397600e-06,-0.080402
-4.395200e-06,-0.080402
-4.392800e-06,-0.080402
-4.390400e-06,-0.080402
-4.388000e-06,-0.080402
-4.385600e-06,-0.080402
-4.383200e-06,-0.080402
-4.380800e-06,-0.080402
-4.378400e-06,-0.080402
